GDI Rank,Country,Location,Gender Development Index (GDI),Human Development Index (Female),Human Development Index (Male),Life Expectancy at Birth (Female),Life Expectancy at Birth (Male),Expected Years of Education (Female),Expected Years of Education (Male),Mean Years of Education (Female),Mean Years of Education (Male),Estimated Gross National Income per Capita (Female),Estimated Gross National Income per Capita (Male)
80,Jordan,Africa,0.86,0.674,0.784,75.8,72.4,13.7,13.3,9.3,10.5,3587,18831
81,The former Yugoslav Republic of Macedonia,Europe,0.949,0.726,0.765,77.7,73.1,13.5,13.2,8.7,9.8,8796,14754
81,Ukraine,Europe,1.003,0.747,0.745,75.9,66,15.4,14.9,11.3,11.4,6518,10120
83,Algeria,Africa,0.837,0.637,0.761,77.2,72.5,14.2,13.8,4.8,7.8,3898,22009
84,Peru,South America,0.947,0.712,0.752,77.2,71.9,13.1,13,8.5,9.6,8040,13977
85,Albania,Europe,0.948,0.711,0.75,80.4,75.4,11.9,11.8,8.9,9.6,7217,12655
85,Armenia,Europe,1.008,0.734,0.728,78.6,70.9,13.6,11.2,10.8,10.9,6042,10089
85,Bosnia and Herzegovina,Europe,..,..,..,79,74,..,..,6.6,8.6,6514,12912
88,Ecuador,South America,0.98,0.722,0.737,78.7,73.2,14.5,13.9,7.4,7.6,8487,12723
89,Saint Lucia,Central America,0.991,0.725,0.731,77.8,72.4,13,12.1,9.4,9.3,8018,11576
90,China,Asia,0.943,0.705,0.747,77.3,74.3,13.2,12.9,6.9,8.2,10128,14795
90,Fiji,Oceania,0.941,0.699,0.743,73.2,67.2,16,15.5,9.8,10,4274,10592
90,Mongolia,Asia,1.028,0.737,0.716,73.9,65.3,15.3,13.9,9.5,9,9029,12462
93,Thailand,Asia,1,0.726,0.726,77.9,71.1,13.9,13.1,7.1,7.5,11820,14888
94,Dominica,Central America,..,..,..,..,..,..,..,..,..,..,..
94,Libya,Africa,0.95,0.699,0.736,74.6,68.9,14.3,13.8,7.7,7,7427,22392
96,Tunisia,Africa,0.894,0.671,0.751,77.3,72.5,15,14,5.9,7.8,4748,16159
97,Colombia,South America,0.997,0.719,0.721,77.7,70.5,13.9,13.2,7.4,7.3,9785,14372
97,Saint Vincent and the Grenadines,Central America,..,..,..,75.1,70.9,13.4,13.1,..,..,7283,12541
99,Jamaica,Central America,0.995,0.715,0.719,78.1,73.3,13.1,11.6,10,9.4,5820,9059
100,Tonga,Oceania,0.967,0.704,0.727,75.8,69.9,15,14.4,10.7,10.8,3796,6336
101,Belize,Central America,0.958,0.696,0.727,72.9,67.4,13.9,13.2,10.5,10.5,5034,10198
101,Dominican Republic,Central America,0.995,0.71,0.713,76.7,70.4,13.6,12.6,7.7,7.2,8860,14903
103,Suriname,South America,0.975,0.702,0.72,74.4,68,13.6,11.8,7.3,8,10241,20970
104,Maldives,Asia,0.937,0.678,0.723,77.8,75.8,12.8,12.5,5.7,6,8531,16073
105,Samoa,Oceania,0.956,0.681,0.713,76.8,70.4,13.2,12.5,10.3,10.3,3416,7124
106,Botswana,Africa,0.982,0.691,0.704,66.8,62.1,12.6,12.4,8.7,9.1,15179,18096
107,Moldova (Republic of),Europe,1.003,0.694,0.692,75.7,67.4,12.2,11.6,11.1,11.3,4599,5915
108,Egypt,Africa,0.868,0.633,0.729,73.4,69,13.3,13.8,5.4,7.7,4928,16049
109,Turkmenistan,Asia,..,..,..,69.9,61.5,10.6,11,..,..,8725,17552
110,Gabon,Africa,..,..,..,65,63.8,..,..,8.9,6.6,13527,19177
110,Indonesia,Asia,0.927,0.655,0.706,71,66.9,13.1,12.9,7,8.2,6485,13052
112,Paraguay,Central America,0.956,0.662,0.692,75.1,70.8,12.2,11.7,7.5,7.9,5576,9678
113,"Palestine, State of",Asia,0.86,0.607,0.706,74.9,71,13.8,12.2,8.4,9.3,1580,7726
114,Uzbekistan,Asia,0.945,0.64,0.678,71.8,65,11.3,11.7,9.5,9.9,3811,7342
115,Philippines,Asia,0.977,0.649,0.664,71.8,64.9,11.5,11.1,8.4,7.9,5382,10439
116,El Salvador,Central America,0.965,0.652,0.676,77.4,68.3,12.1,12.4,6.2,6.9,5497,9406
116,South Africa,Africa,0.948,0.646,0.681,59.3,55.2,13.7,13.4,9.7,10.2,8713,15737
116,Viet Nam,Asia,..,..,..,80.5,71,..,..,7,7.9,4624,5570
119,Bolivia (Plurinational State of),South America,0.931,0.637,0.684,70.9,65.9,12.9,13.4,7.5,8.9,4383,7140
120,Kyrgyzstan,Asia,0.961,0.638,0.664,74.6,66.6,12.7,12.3,10.5,10.6,2122,3992
121,Iraq,Asia,0.787,0.561,0.712,71.7,67.2,8.7,11.4,5.1,7.7,4279,23515
122,Cabo Verde,Africa,..,..,..,75,71.4,13.9,13.1,..,..,4098,8105
123,Micronesia (Federated States of),Oceania,..,..,..,70.1,68.1,..,..,..,..,..,..
124,Guyana,South America,0.984,0.626,0.636,68.8,64.2,11.2,9.4,8.9,8,4164,8804
125,Nicaragua,Central America,0.96,0.615,0.64,77.9,71.9,11.8,11.3,6.2,5.8,2967,5979
